Pose,minimizedAffinity,CNNscore,CNNaffinity,CNN_VS,CNNaffinity_variance
1,-10.6707,0.3320932686,7.2507271767,2.407917738,0.0993982702
2,-10.01365,0.2541642487,7.0722427368,1.79751122,0.0409918875
3,-6.10495,0.2268904001,6.4830002785,1.4709305763,0.0285752006
4,-6.20292,0.1915910095,6.5095834732,1.2471777201,0.0362816863
5,-6.4819,0.1895535588,6.5692315102,1.2452212572,0.0655851588
6,-6.77525,0.1434033364,6.8036603928,0.9756675959,0.1783694923
7,-6.70005,0.1415473074,6.5665612221,0.9294790626,0.0690321475
8,-9.66042,0.1328630149,6.896065712,0.9162321091,0.1075259224
9,-7.5674,0.1324184537,6.5464353561,0.8668688536,0.0806972608
10,-8.10049,0.1301983148,6.5549635887,0.8534452319,0.0713863
